Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,115383,5781,790.0,7046.95084463401,28.671542000012096,163959.47666699998,21.626392102822773,330.8689903040723,16.57743023623794,790,1300,1800,2400,25000,56000,67000,72000,121000,162000,164000
POST,/predict,231245,13875,880.0,7229.23576586957,39.43991700000993,163846.90691700001,449.32141667927954,663.1115473064941,39.787553109808236,880,1400,1900,2500,26000,57000,67000,72000,121000,162000,164000
,Aggregated,346628,19656,850.0,7168.558091051135,28.671542000012096,163959.47666699998,306.95341691957947,993.9805376105664,56.36498334604618,850,1400,1900,2500,26000,57000,67000,72000,121000,162000,164000
